Date,Open,High,Low,Close,Volume,Adj Close
2011-04-08,6.00,6.05,6.00,6.03,7859300,6.03
2011-04-07,5.96,5.98,5.96,5.97,1243500,5.97
2011-04-06,5.98,5.98,5.96,5.96,1129200,5.96
2011-04-05,5.96,5.98,5.96,5.97,2536400,5.97
2011-04-04,5.95,5.99,5.95,5.98,2047300,5.98
2011-04-01,5.96,5.97,5.93,5.97,2073200,5.97
2011-03-31,5.95,5.97,5.93,5.93,3857500,5.93
2011-03-30,5.96,5.97,5.95,5.96,1520400,5.96
2011-03-29,5.96,5.97,5.93,5.97,2248400,5.97
2011-03-28,5.96,5.98,5.96,5.96,3567300,5.96
2011-03-25,5.92,5.97,5.92,5.96,5402000,5.96
2011-03-24,5.84,5.95,5.84,5.93,19446400,5.93
2011-03-23,5.78,5.80,5.75,5.78,3553700,5.78
2011-03-22,5.80,5.81,5.74,5.76,5735200,5.76
2011-03-21,5.79,5.80,5.77,5.80,3432500,5.80
2011-03-18,5.80,5.80,5.75,5.80,5697100,5.80
2011-03-17,5.80,5.81,5.78,5.79,2601800,5.79
2011-03-16,5.80,5.81,5.78,5.80,5893300,5.80
2011-03-15,5.79,5.82,5.77,5.79,6220900,5.79
2011-03-14,5.81,5.82,5.77,5.80,5261200,5.80
2011-03-11,5.84,5.85,5.80,5.83,5464700,5.83
2011-03-10,5.78,5.82,5.77,5.80,3661000,5.80
2011-03-09,5.79,5.81,5.76,5.77,2623700,5.77
2011-03-08,5.81,5.81,5.78,5.79,4664000,5.79
2011-03-07,5.82,5.83,5.78,5.79,5664600,5.79
2011-03-04,5.80,5.85,5.79,5.83,3217400,5.83
2011-03-03,5.82,5.85,5.80,5.82,4440900,5.82
2011-03-02,5.79,5.85,5.77,5.80,11978500,5.80
2011-03-01,5.88,5.89,5.86,5.87,6128300,5.87
2011-02-28,5.91,5.92,5.87,5.88,5918200,5.88
2011-02-25,5.93,5.94,5.90,5.91,3688100,5.91
2011-02-24,5.93,5.94,5.92,5.92,2395500,5.92
2011-02-23,5.94,5.94,5.92,5.92,2111600,5.92
2011-02-22,5.95,5.95,5.92,5.92,2525100,5.92
2011-02-18,5.95,5.95,5.93,5.95,3875500,5.95
2011-02-17,5.94,5.96,5.93,5.93,3257100,5.93
2011-02-16,5.94,5.95,5.93,5.95,1067900,5.95
2011-02-15,5.95,5.97,5.93,5.93,2441100,5.93
2011-02-14,5.95,5.96,5.94,5.95,2945200,5.95
2011-02-11,5.94,5.97,5.94,5.95,4517800,5.95
2011-02-10,5.94,5.96,5.94,5.95,2452500,5.95
2011-02-09,5.95,5.96,5.94,5.95,1973500,5.95
2011-02-08,5.94,5.96,5.94,5.96,4187100,5.96
2011-02-07,5.96,5.98,5.93,5.94,4743900,5.94
2011-02-04,5.97,5.99,5.95,5.96,3392000,5.96
2011-02-03,6.01,6.02,5.92,5.97,22410200,5.97
2011-02-02,6.02,6.04,6.01,6.02,2615600,6.02
2011-02-01,6.01,6.04,6.01,6.04,3077200,6.04
2011-01-31,6.00,6.02,6.00,6.02,3908200,6.02
2011-01-28,6.00,6.01,5.99,6.00,2769400,6.00
2011-01-27,5.98,6.01,5.97,6.01,6377600,6.01
2011-01-26,5.95,5.98,5.94,5.98,2441700,5.98
2011-01-25,5.94,5.96,5.94,5.94,4076800,5.94
2011-01-24,5.95,5.96,5.94,5.96,4787600,5.96
2011-01-21,5.96,5.96,5.94,5.94,3617100,5.94
2011-01-20,5.96,5.97,5.93,5.95,7385600,5.95
2011-01-19,5.97,5.97,5.95,5.96,4261800,5.96
2011-01-18,5.97,5.98,5.95,5.97,10513400,5.97
2011-01-14,5.94,5.95,5.93,5.94,3869300,5.94
