Date,Open,High,Low,Close,Volume,Adj Close
2011-04-08,36.98,37.09,36.01,36.43,2388800,36.43
2011-04-07,36.85,37.23,36.50,36.92,1567500,36.92
2011-04-06,37.16,37.18,36.42,36.97,1851400,36.97
2011-04-05,36.73,37.11,36.56,36.98,2484000,36.98
2011-04-04,36.47,36.85,36.46,36.80,1774900,36.80
2011-04-01,36.32,36.74,36.13,36.48,2704700,36.48
2011-03-31,36.48,36.54,36.19,36.21,1592300,36.21
2011-03-30,36.69,36.84,36.43,36.45,2155300,36.45
2011-03-29,35.99,36.60,35.84,36.44,1181700,36.44
2011-03-28,36.22,36.47,36.06,36.07,1183100,36.07
2011-03-25,36.04,36.43,35.82,36.20,1440700,36.20
2011-03-24,35.56,35.94,35.33,35.84,1080900,35.84
2011-03-23,35.08,35.47,34.88,35.28,1736700,35.28
2011-03-22,35.46,35.66,35.19,35.24,1102100,35.24
2011-03-21,35.34,35.81,35.14,35.50,1512800,35.50
2011-03-18,35.35,35.57,34.84,35.00,2408000,35.00
2011-03-17,35.47,35.62,34.99,35.07,1515300,35.07
2011-03-16,35.41,35.74,34.62,34.91,2097500,34.91
2011-03-15,34.77,35.92,34.75,35.60,3041300,35.60
2011-03-14,35.71,36.05,35.62,35.63,3699000,35.63
2011-03-11,35.53,36.12,35.47,36.00,1494300,36.00
2011-03-10,35.73,35.88,35.36,35.66,2106600,35.66
2011-03-09,35.98,36.33,35.83,36.12,1297700,36.12
2011-03-08,35.65,36.43,35.48,36.28,1863700,36.28
2011-03-07,36.27,36.27,35.16,35.53,3021300,35.53
2011-03-04,35.87,36.23,35.83,36.13,1575500,36.13
2011-03-03,35.90,36.25,35.87,35.95,1545700,35.95
2011-03-02,34.99,35.86,34.94,35.64,2418300,35.64
2011-03-01,35.48,35.73,34.92,35.05,2187100,35.05
2011-02-28,35.98,36.02,35.05,35.29,2165900,35.29
2011-02-25,35.85,36.16,35.75,35.98,1502100,35.98
2011-02-24,35.10,35.78,35.00,35.63,2772000,35.63
2011-02-23,35.09,35.31,34.20,35.12,4215900,35.12
2011-02-22,36.41,36.46,35.05,35.10,2875000,35.10
2011-02-18,36.91,36.98,36.65,36.74,1134300,36.74
2011-02-17,36.96,37.08,36.71,36.89,829500,36.89
2011-02-16,36.88,37.09,36.60,36.98,1230300,36.98
2011-02-15,36.46,36.92,36.46,36.60,1165600,36.60
2011-02-14,36.85,37.57,36.44,36.58,5566400,36.58
2011-02-11,36.19,36.73,35.61,36.71,1910400,36.71
